CODIGO,clust
764000001000000010001000000000,1
764000001000000010002000000000,1
764000001000000010007000000000,1
764000001000000010010000000000,1
764000001000000010011000000000,1
764000001000000010012000000000,1
764000001000000010013000000000,1
764000001000000010014000000000,1
764000001000000010015000000000,1
764000001000000010020000000000,1
764000001000000010021000000000,1
764000001000000010024000000000,1
764000001000000010025000000000,1
764000001000000010029000000000,1
764000001000000010030000000000,1
764000001000000010031000000000,1
764000001000000010033000000000,1
764000001000000010034000000000,1
764000001000000010035000000000,1
764000001000000010036000000000,1
764000001000000010037000000000,1
764000001000000010038000000000,1
764000001000000010040000000000,1
764000001000000010042000000000,1
764000001000000010043000000000,1
764000001000000010044000000000,1
764000001000000010045000000000,1
764000001000000010046000000000,1
764000001000000010047000000000,1
764000001000000010049000000000,1
764000001000000010050000000000,1
764000001000000010051000000000,1
764000001000000010052000000000,1
764000001000000010054000000000,1
764000001000000010056000000000,1
764000001000000010057000000000,1
764000001000000010058000000000,1
764000001000000010059000000000,1
764000001000000010060000000000,1
764000001000000010061000000000,1
764000001000000010062000000000,1
764000001000000010063000000000,1
764000001000000010064000000000,1
764000001000000010065000000000,1
764000001000000010066000000000,1
764000001000000010067000000000,1
764000001000000010068000000000,1
764000001000000010069000000000,1
764000001000000010070000000000,1
764000001000000010071000000000,1
764000001000000010072000000000,1
764000001000000010073000000000,1
764000001000000010074000000000,1
764000001000000010075000000000,1
764000001000000010076000000000,1
764000001000000010077000000000,1
764000001000000010078000000000,1
764000001000000010079000000000,1
764000001000000010080000000000,1
764000001000000010081000000000,1
764000001000000010082000000000,1
764000001000000010083000000000,1
764000001000000010084000000000,1
764000001000000010085000000000,1
764000001000000010086000000000,1
764000001000000010087000000000,1
764000001000000010088000000000,1
764000001000000010089000000000,1
764000001000000010091000000000,1
764000001000000010092000000000,1
764000001000000010095000000000,1
764000001000000010096000000000,1
764000001000000010097000000000,1
764000001000000010098000000000,1
764000001000000010099000000000,1
764000001000000010100000000000,1
764000001000000010101000000000,1
764000001000000010102000000000,1
764000001000000010103000000000,1
764000001000000010105000000000,1
764000001000000010106000000000,1
764000001000000010108000000000,1
764000001000000010111000000000,1
764000001000000010115000000000,1
764000001000000010120000000000,1
764000001000000010123000000000,1
764000001000000010124000000000,1
764000001000000010125000000000,1
764000001000000010126000000000,1
764000001000000010127000000000,1
764000001000000010128000000000,1
764000001000000010130000000000,1
764000001000000010136000000000,1
764000001000000010137000000000,1
764000001000000010141000000000,1
764000001000000010142000000000,1
764000001000000010143000000000,1
764000001000000010144000000000,1
764000001000000010147000000000,1
764000001000000010148000000000,1
764000001000000010149000000000,1
764000001000000010150000000000,1
764000001000000010151000000000,1
764000001000000010164000000000,1
764000001000000010171000000000,1
764000001000000010173000000000,1
764000001000000010174000000000,1
764000001000000010175000000000,1
764000001000000010176000000000,1
764000001000000010178000000000,1
764000001000000010179000000000,1
764000001000000010180000000000,1
764000001000000010181000000000,1
764000001000000010182000000000,1
764000001000000010186000000000,1
764000001000000010187000000000,1
764000001000000010189000000000,1
764000001000000010197000000000,1
764000001000000010199000000000,1
764000001000000010200000000000,1
764000001000000010201000000000,1
764000001000000010203000000000,1
764000001000000010206000000000,1
764000001000000010207000000000,1
764000001000000010214000000000,1
764000001000000010216000000000,1
764000001000000010218000000000,1
764000001000000010220000000000,1
764000001000000010221000000000,1
764000001000000010222000000000,1
764000001000000010223000000000,1
764000001000000010224000000000,1
764000001000000010225000000000,1
764000001000000010227000000000,1
764000001000000010228000000000,1
764000001000000010233000000000,1
764000001000000010234000000000,1
764000001000000010236000000000,1
764000001000000010237000000000,1
764000001000000010238000000000,1
764000001000000010239000000000,1
764000001000000010240000000000,1
764000001000000010241000000000,1
764000001000000010242000000000,1
764000001000000010243000000000,1
764000001000000010244000000000,1
764000001000000010245000000000,1
764000001000000010246000000000,1
764000001000000010247000000000,1
764000001000000010248000000000,1
764000001000000010249000000000,1
764000001000000010251000000000,1
764000001000000010252000000000,1
764000001000000010256000000000,1
764000001000000010258000000000,1
764000001000000010260000000000,1
764000001000000010261000000000,1
764000001000000010262000000000,1
764000001000000010263000000000,1
764000001000000010265000000000,1
764000001000000010266000000000,1
764000001000000010269000000000,1
764000001000000010279000000000,1
764000001000000010281000000000,1
764000001000000010282000000000,1
764000001000000010283000000000,1
764000001000000010287000000000,1
764000001000000010292000000000,1
764000001000000010293000000000,1
764000001000000010294000000000,1
764000001000000010303000000000,1
764000001000000010304000000000,1
764000001000000010305000000000,1
764000001000000010306000000000,1
764000001000000010307000000000,1
764000001000000010308000000000,1
764000001000000010309000000000,1
764000001000000010310000000000,1
764000001000000010311000000000,1
764000001000000010312000000000,1
764000001000000010313000000000,2
764000001000000010315000000000,1
764000001000000010316000000000,1
764000001000000010317000000000,1
764000001000000010321000000000,1
764000001000000010323000000000,1
764000001000000010325000000000,1
764000001000000010326000000000,1
764000001000000010327000000000,1
764000001000000010329000000000,3
764000001000000010331000000000,2
764000001000000010332000000000,1
764000001000000010333000000000,1
764000001000000010334000000000,1
764000001000000010336000000000,1
764000001000000010337000000000,2
764000001000000010338000000000,1
764000001000000010339000000000,1
764000001000000010344000000000,1
764000001000000010345000000000,1
764000001000000010350000000000,1
764000001000000010351000000000,1
764000001000000010352000000000,1
764000001000000010353000000000,1
764000001000000010354000000000,1
764000001000000010355000000000,1
764000001000000010356000000000,1
764000001000000010359000000000,1
764000001000000010360000000000,1
764000001000000010361000000000,1
764000001000000010362000000000,1
764000001000000010363000000000,1
764000001000000010364000000000,1
764000001000000010366000000000,1
764000001000000010368000000000,1
764000001000000010369000000000,1
764000001000000010372000000000,1
764000001000000010373000000000,1
764000001000000010375000000000,1
764000001000000010376000000000,1
764000001000000010377000000000,1
764000001000000010378000000000,1
764000001000000010379000000000,1
764000001000000010380000000000,1
764000001000000010381000000000,1
764000001000000010382000000000,1
764000001000000010383000000000,1
764000001000000010386000000000,1
764000001000000010388000000000,1
764000001000000010389000000000,1
764000001000000010390000000000,1
764000001000000010391000000000,2
764000001000000010394000000000,1
764000001000000010395000000000,1
764000001000000010396000000000,1
764000001000000010397000000000,1
764000001000000010398000000000,1
764000001000000010399000000000,1
764000001000000010400000000000,1
764000001000000010402000000000,1
764000001000000010403000000000,1
764000001000000010410000000000,1
764000001000000010413000000000,1
764000001000000010416000000000,1
764000001000000010418000000000,1
764000001000000010419000000000,1
764000001000000010425000000000,1
764000001000000010426000000000,1
764000001000000010427000000000,1
764000001000000010428000000000,1
764000001000000010429000000000,1
764000001000000010430000000000,1
764000001000000010433000000000,1
764000001000000010434000000000,1
764000001000000010436000000000,1
764000001000000010437000000000,1
764000001000000010439000000000,1
