"COD","PC1","PC2","PC3","x","y"
"764000001000000010001000000000","-1.6212086834161","-0.847042751182322","-0.125351683633106",781176.414749885,992980.2268733
"764000001000000010002000000000","-1.51535345306501","-1.0857915785874","-0.336454980646871",781275.173138177,992625.887157599
"764000001000000010007000000000","-1.65119972975815","-0.80338802034058","-0.0728942854090021",780986.34334992,992356.579221342
"764000001000000010010000000000","-0.815191189253549","-1.76130149481181","-0.0636965798362448",780977.734742785,992304.961733048
"764000001000000010011000000000","-0.839628251857501","-1.7061854649041","-0.0149626205607698",780946.127710619,992155.054197782
"764000001000000010012000000000","-1.4884209888737","-1.17052371485224","-0.3975181020167",780833.055429478,991862.325948637
"764000001000000010013000000000","-1.64223228426302","-0.823613446043985","-0.0907777409882474",780815.003273415,991679.727662397
"764000001000000010014000000000","-1.61095316219949","-0.894161246942998","-0.153156574546177",780680.928910814,991592.499092765
"764000001000000010015000000000","-1.65612393179892","-0.792281838253589","-0.0630741255310178",780498.603857646,991544.623501053
"764000001000000010020000000000","-1.60533813928511","-0.822833046547228","-0.0934281310837413",780709.968322964,991431.008820037
"764000001000000010021000000000","-1.65155027322512","-0.718604915792886","-0.00126892643771563",780731.282312059,991266.957516193
"764000001000000010024000000000","-1.61573820336777","-0.799376453080494","-0.0726876555331004",780679.646127169,991349.338335692
"764000001000000010025000000000","-1.59208132510433","-0.852732833551504","-0.119865721103409",780616.24298589,991341.659597452
"764000001000000010029000000000","-1.54937944618684","-0.949043837606122","-0.205024549800565",780577.389616384,991299.581320754
"764000001000000010030000000000","-1.67085045199252","-0.675074756403093","0.0372207292669747",780538.714645032,991235.653471097
"764000001000000010031000000000","-1.69551481701441","-0.619446062307051","0.0864079896187079",780606.801938273,991215.519806026
"764000001000000010033000000000","-1.75031665080008","-0.495844483881688","0.195697325215858",780379.374124712,991166.272626787
"764000001000000010034000000000","-1.68630188281878","-0.64022517004573","0.0680349647108333",780497.907207918,991191.298924724
"764000001000000010035000000000","-1.62985913777429","-0.767527705312052","-0.0445267814766574",780268.680765526,991227.165180056
"764000001000000010036000000000","-1.62591954335328","-0.776413176019061","-0.0523833736206109",780187.406668849,991248.868098248
"764000001000000010037000000000","-1.63939552985057","-0.676715919994901","0.0226095842443751",780045.513748871,991332.88919379
"764000001000000010038000000000","-1.67477450417166","-0.596921198412049","0.0931646064135731",780102.992430467,991234.306456303
"764000001000000010040000000000","-1.57570265604279","-0.820370597097114","-0.104410834231949",779997.048353315,991068.943656354
"764000001000000010042000000000","-1.64279708966627","-0.669043947484397","0.0293931932328221",779879.434229617,991241.866266406
"764000001000000010043000000000","-1.71538414888183","-0.50532907751511","0.17415096731838",779878.643761269,991108.458387828
"764000001000000010044000000000","-1.63891006904958","-0.677810841772522","0.0216414471450633",779851.209984661,991060.291242748
"764000001000000010045000000000","-1.69817829780073","-0.544135632056575","0.139837954356234",779804.068441396,990985.474321286
"764000001000000010046000000000","-1.57934931904656","-0.81214581204678","-0.097138424728513",779868.724761974,991003.1949948
"764000001000000010047000000000","-1.73784604671207","-0.45466788911209","0.218945926182691",779888.508016105,990990.410151225
"764000001000000010049000000000","-1.63877470017239","-0.678116156498974","0.0213714858385244",779837.433295443,990947.415196566
"764000001000000010050000000000","-1.50387037161777","-0.982383127034655","-0.247663387968382",779763.231675926,991058.919841399
"764000001000000010051000000000","-1.81705084354986","-0.276027189855558","0.376901217539637",779724.645994688,991066.680352055
